Batch_size,KINN,CVXPY
1,0.003223419189453125,0.004101753234863281
2,0.0015864372253417969,0.052993059158325195
3,0.0008234977722167969,0.023041963577270508
4,0.0013327598571777344,0.02619791030883789
5,0.0008518695831298828,0.0351254940032959
6,0.0008754730224609375,0.04286527633666992
7,0.0009005069732666016,0.04321742057800293
8,0.0009191036224365234,0.04693150520324707
9,0.004925727844238281,0.06256508827209473
10,0.0020258426666259766,0.06382131576538086
11,0.0030946731567382812,0.0662996768951416
12,0.002599954605102539,0.07987546920776367
13,0.000934600830078125,0.0784144401550293
14,0.0009253025054931641,0.07852625846862793
15,0.0009620189666748047,0.08912086486816406
16,0.0009675025939941406,0.09009766578674316
17,0.0009710788726806641,0.09698772430419922
18,0.0009832382202148438,0.10996651649475098
19,0.001077413558959961,0.11540627479553223
20,0.0036742687225341797,0.11915135383605957
21,0.0037474632263183594,0.1270608901977539
22,0.00428318977355957,0.13521170616149902
23,0.0040683746337890625,0.1375110149383545
24,0.011538982391357422,0.14191675186157227
25,0.0025315284729003906,0.14180707931518555
26,0.017428874969482422,0.0965726375579834
27,0.0019817352294921875,0.10539698600769043
28,0.0017321109771728516,0.09953689575195312
29,0.002043008804321289,0.10814714431762695
30,0.0020449161529541016,0.11534333229064941
31,0.0031609535217285156,0.10362815856933594
32,0.0017247200012207031,0.15692448616027832
33,0.007310152053833008,0.15346193313598633
34,0.005757808685302734,0.18160057067871094
35,0.004956960678100586,0.19193530082702637
36,0.0031974315643310547,0.19988417625427246
37,0.0019066333770751953,0.15963339805603027
38,0.005269527435302734,0.21138501167297363
39,0.002680540084838867,0.22223973274230957
40,0.0020966529846191406,0.1392502784729004
41,0.0018770694732666016,0.19710803031921387
42,0.011519908905029297,0.22283124923706055
43,0.002249002456665039,0.14674830436706543
44,0.002248048782348633,0.1651473045349121
45,0.002198934555053711,0.22520232200622559
46,0.002572774887084961,0.2287731170654297
47,0.002131938934326172,0.13771963119506836
48,0.0019016265869140625,0.18295693397521973
49,0.002041339874267578,0.19353246688842773
50,0.0023996829986572266,0.1696453094482422
51,0.002271890640258789,0.22076201438903809
52,0.003141641616821289,0.24875760078430176
53,0.0032601356506347656,0.25306057929992676
54,0.002190113067626953,0.1602334976196289
55,0.0022215843200683594,0.19746017456054688
56,0.004923105239868164,0.26162123680114746
57,0.0031294822692871094,0.19933366775512695
58,0.0028982162475585938,0.20812773704528809
59,0.002012491226196289,0.22137022018432617
60,0.0020771026611328125,0.33371758460998535
61,0.003022432327270508,0.22789549827575684
62,0.0021004676818847656,0.2165539264678955
63,0.003147125244140625,0.2619791030883789
64,0.0022115707397460938,0.2185676097869873
65,0.004361152648925781,0.2756204605102539
66,0.0042400360107421875,0.2802720069885254
67,0.004474163055419922,0.28861451148986816
68,0.002897500991821289,0.2360363006591797
69,0.0027420520782470703,0.2520003318786621
70,0.0041806697845458984,0.2943599224090576
71,0.004324436187744141,0.24059462547302246
72,0.0028858184814453125,0.2856290340423584
73,0.011734485626220703,0.23869824409484863
74,0.004521369934082031,0.3028683662414551
75,0.002720355987548828,0.2804837226867676
76,0.02831745147705078,0.23658156394958496
77,0.0029954910278320312,0.2800016403198242
78,0.003272533416748047,0.2627837657928467
79,0.0032889842987060547,0.26413559913635254
80,0.004365444183349609,0.31319427490234375
81,0.004590511322021484,0.31551337242126465
82,0.004662990570068359,0.3162202835083008
83,0.002770662307739258,0.271075963973999
84,0.004488229751586914,0.3201258182525635
85,0.002842426300048828,0.2565767765045166
86,0.004423379898071289,0.32494378089904785
87,0.004507541656494141,0.2746906280517578
88,0.003133058547973633,0.2858407497406006
89,0.003682851791381836,0.29584288597106934
90,0.01032876968383789,0.3495018482208252
91,0.0033278465270996094,0.32634925842285156
92,0.0034563541412353516,0.30101656913757324
93,0.002902507781982422,0.2951653003692627
94,0.0031499862670898438,0.3050553798675537
95,0.005381107330322266,0.3881547451019287
96,0.0030667781829833984,0.30304479598999023
97,0.0038526058197021484,0.28643202781677246
98,0.005542755126953125,0.35756802558898926
99,0.00546574592590332,0.3121001720428467
